nombre	"printf(""%.6f""	cantidad/118863.0)"
agustin	0.037001
mateo	0.034544
benjamin	0.031187
vicente	0.027073
joaquin	0.026871
martin	0.024608
matias	0.024145
maximiliano	0.022034
tomas	0.021807
alonso	0.021605
cristobal	0.019518
lucas	0.018181
gaspar	0.016330
jose	0.015337
maximo	0.013890
santiago	0.013595
nicolas	0.013427
sebastian	0.013410
diego	0.012014
renato	0.011122
gabriel	0.011072
felipe	0.011030
juan	0.010836
bruno	0.010365
leon	0.010020
julian	0.009911
luciano	0.009195
ignacio	0.009137
emiliano	0.008968
facundo	0.008943
bastian	0.008884
simon	0.008581
amaro	0.007984
francisco	0.007504
javier	0.007370
daniel	0.007168
franco	0.007109
damian	0.006638
emilio	0.006108
angel	0.006091
luis	0.006007
pedro	0.005990
dante	0.005931
thomas	0.005889
rafael	0.005620
ian	0.005477
gustavo	0.005107
carlos	0.005073
fernando	0.005039
david	0.004947
cristian	0.004737
pablo	0.004644
jorge	0.004459
mariano	0.004375
alexander	0.004333
dylan	0.004232
esteban	0.004148
aaron	0.003946
manuel	0.003862
valentin	0.003845
gael	0.003685
samuel	0.003660
victor	0.003626
alejandro	0.003441
rodrigo	0.003390
eduardo	0.003281
elias	0.003281
fabian	0.003121
clemente	0.003088
miguel	0.003054
alvaro	0.003037
isaac	0.003020
salvador	0.002970
leonardo	0.002936
andres	0.002928
leandro	0.002835
camilo	0.002810
baltazar	0.002642
santino	0.002625
liam	0.002499
gonzalo	0.002330
elian	0.002322
augusto	0.002255
cristopher	0.002246
ricardo	0.002095
sergio	0.002086
josue	0.002070
matteo	0.002061
jean	0.002053
alexis	0.002028
demian	0.002011
borja	0.001927
mathias	0.001918
isaias	0.001893
claudio	0.001868
lorenzo	0.001868
guillermo	0.001826
jesus	0.001784
oscar	0.001775
thiago	0.001767
marcelo	0.001758
kevin	0.001733
arturo	0.001725
alan	0.001699
mauricio	0.001683
alfonso	0.001666
lukas	0.001624
alex	0.001607
hector	0.001598
christopher	0.001582
antonio	0.001573
patricio	0.001506
roberto	0.001464
cesar	0.001380
oliver	0.001371
ezequiel	0.001363
ismael	0.001363
raimundo	0.001363
ivan	0.001321
jeremias	0.001304
valentino	0.001287
marco	0.001262
christian	0.001237
anibal	0.001220
nahuel	0.001186
anthony	0.001178
jordan	0.001178
mario	0.001169
pascual	0.001169
axel	0.001161
matheo	0.001144
max	0.001144
amaru	0.001111
gaston	0.001102
domingo	0.001094
jonathan	0.001094
raul	0.001094
moises	0.001077
dario	0.001052
dilan	0.001026
iker	0.000993
lautaro	0.000984
stefano	0.000984
lian	0.000976
jaime	0.000968
emanuel	0.000959
ethan	0.000942
angelo	0.000925
ariel	0.000917
noah	0.000917
milan	0.000892
octavio	0.000875
abraham	0.000841
piero	0.000824
hans	0.000816
erick	0.000808
hugo	0.000799
marcos	0.000791
cristofer	0.000774
jeremy	0.000757
leonel	0.000749
williams	0.000749
emmanuel	0.000715
eithan	0.000698
eydan	0.000698
william	0.000698
enzo	0.000681
eidan	0.000665
paolo	0.000665
adolfo	0.000648
exequiel	0.000639
joseph	0.000639
omar	0.000639
austin	0.000631
johan	0.000631
milovan	0.000606
felix	0.000597
mauro	0.000589
joel	0.000581
lionel	0.000581
jacob	0.000572
lyan	0.000564
baltasar	0.000555
jhon	0.000555
"iñaki"	0.000547
roman	0.000547
giovanni	0.000538
edward	0.000530
hernan	0.000522
ruben	0.000522
enrique	0.000513
joshua	0.000513
julio	0.000513
derek	0.000505
danilo	0.000488
israel	0.000488
misael	0.000488
bautista	0.000480
