nombre	"printf(""%.6f""	cantidad/114895.0)"
sofia	0.034910
isidora	0.031211
emilia	0.029357
florencia	0.026485
maite	0.024805
amanda	0.024457
josefa	0.024457
agustina	0.023961
isabella	0.022116
antonella	0.021063
martina	0.019522
maria	0.018913
trinidad	0.017860
julieta	0.015449
antonia	0.015284
catalina	0.015153
valentina	0.014413
mia	0.014239
renata	0.012237
fernanda	0.011280
emily	0.010392
emma	0.010175
javiera	0.009774
francisca	0.009313
rafaela	0.009287
victoria	0.009226
ignacia	0.009026
monserrat	0.008216
constanza	0.008103
colomba	0.007067
matilda	0.006937
amalia	0.006832
amparo	0.006719
laura	0.006632
pascal	0.006606
camila	0.006197
dominga	0.005797
luciana	0.005553
ambar	0.005492
matilde	0.005300
josefina	0.005161
leonor	0.005092
magdalena	0.004813
belen	0.004674
anais	0.004596
paz	0.004221
rafaella	0.004195
samantha	0.004108
pia	0.004021
violeta	0.004004
dominique	0.003960
aylen	0.003925
pascale	0.003786
rocio	0.003690
amelia	0.003577
aurora	0.003560
elena	0.003386
montserrat	0.003177
ema	0.003003
alondra	0.002977
daniela	0.002977
sophia	0.002890
mariana	0.002881
lucia	0.002846
gabriela	0.002768
elizabeth	0.002472
esperanza	0.002463
abigail	0.002428
aylin	0.002420
mayte	0.002393
lia	0.002350
isabel	0.002324
elisa	0.002246
rayen	0.002228
celeste	0.002202
olivia	0.002098
sara	0.002071
genesis	0.002002
amy	0.001993
mayra	0.001976
noelia	0.001976
noemi	0.001976
paula	0.001958
alicia	0.001950
ayleen	0.001941
fiorella	0.001941
amaral	0.001897
alice	0.001889
eloisa	0.001889
alison	0.001871
anahis	0.001715
barbara	0.001671
helena	0.001671
angela	0.001645
mila	0.001636
luna	0.001619
ashley	0.001601
millaray	0.001575
ana	0.001541
jacinta	0.001480
mailen	0.001471
carla	0.001462
alejandra	0.001445
alexandra	0.001401
eimy	0.001393
amaya	0.001340
consuelo	0.001332
maithe	0.001332
maura	0.001332
sayen	0.001314
alma	0.001306
maitte	0.001297
